# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
141.0000 5 0 0.0000
169.0000 6 0 0.0000
195.0000 7 0 0.0000
227.0000 8 0 0.0000
258.0000 9 0 0.0000
284.0000 10 0 0.0000
316.0000 11 0 0.0000
347.0000 12 0 0.0000
379.0000 13 0 0.0000
405.0000 14 0 0.0000
438.0000 15 0 0.0000
472.0000 16 0 0.0000
497.0000 17 0 0.0000
531.0000 18 0 0.0000
556.0000 19 0 0.0000
583.0000 20 0 0.0000
614.0000 21 0 0.0000
643.0000 22 0 0.0000
649.4000 22 1 0.0455
651.8000 22 2 0.0909
670.0000 23 2 0.0870
704.0000 24 2 0.0833
732.0000 25 2 0.0800
761.0000 26 2 0.0769
789.0000 27 2 0.0741
814.0000 28 2 0.0714
842.0000 29 2 0.0690
872.0000 30 2 0.0667
905.0000 31 2 0.0645
935.0000 32 2 0.0625
966.0000 33 2 0.0606
992.0000 34 2 0.0588
1018.0000 35 2 0.0571
1049.0000 36 2 0.0556
1074.0000 37 2 0.0541
1107.0000 38 2 0.0526
1113.6000 38 3 0.0789
1136.0000 39 3 0.0769
1162.0000 40 3 0.0750
1193.0000 41 3 0.0732
1227.0000 42 3 0.0714
1259.0000 43 3 0.0698
1284.0000 44 3 0.0682
1318.0000 45 3 0.0667
1345.0000 46 3 0.0652
1378.0000 47 3 0.0638
1412.0000 48 3 0.0625
1443.0000 49 3 0.0612
1471.0000 50 3 0.0600
1502.0000 51 3 0.0588
1533.0000 52 3 0.0577
1567.0000 53 3 0.0566
1592.0000 54 3 0.0556
1625.0000 55 3 0.0545
1656.0000 56 3 0.0536
1687.0000 57 3 0.0526
1712.0000 58 3 0.0517
1746.0000 59 3 0.0508
1780.0000 60 3 0.0500
1813.0000 61 3 0.0492
1838.0000 62 3 0.0484
1865.0000 63 3 0.0476
1897.0000 64 3 0.0469
1923.0000 65 3 0.0462
1957.0000 66 3 0.0455
1985.0000 67 3 0.0448
2014.0000 68 3 0.0441
2048.0000 69 3 0.0435
2076.0000 70 3 0.0429
2104.0000 71 3 0.0423
2130.0000 72 3 0.0417
2161.0000 73 3 0.0411
2194.0000 74 3 0.0405
2225.0000 75 3 0.0400
2253.0000 76 3 0.0395
2285.0000 77 3 0.0390
2310.0000 78 3 0.0385
2343.0000 79 3 0.0380
2349.2000 79 4 0.0506
2375.0000 80 4 0.0500
2393.4000 80 5 0.0625
2402.0000 81 5 0.0617
2430.0000 82 5 0.0610
2435.8000 82 6 0.0732
2462.0000 83 6 0.0723
2493.0000 84 6 0.0714
2515.8000 84 7 0.0833
2521.0000 85 7 0.0824
2551.0000 86 7 0.0814
2581.0000 87 7 0.0805
2591.8000 87 8 0.0920
2606.0000 88 8 0.0909
2636.0000 89 8 0.0899
2659.2000 89 9 0.1011
2666.0000 90 9 0.1000
2693.5000 90 10 0.1111
2700.0000 91 10 0.1099
2726.0000 92 10 0.1087
2749.9000 92 11 0.1196
2755.0000 93 11 0.1183
2785.0000 94 11 0.1170
2812.0000 95 11 0.1158
2841.0000 96 11 0.1146
2842.1000 96 12 0.1250
2864.9000 96 13 0.1354
2873.0000 97 13 0.1340
2906.0000 98 13 0.1327
2910.6000 98 14 0.1429
2935.0000 99 14 0.1414
2969.0000 100 14 0.1400
2996.0000 101 14 0.1386
