# time  ID  size  fromHost  toHost  TTL  isResponse
400.0000 M1 618834 SlowCar0 ReportEvent1 300 N 
800.0000 M2 922110 FastCar2 ReportEvent1 300 N 
1200.0000 M3 855873 ReportEvent1 FastCar2 300 N 
1600.0000 M4 575923 FastCar2 SlowCar0 300 N 
2000.0000 M5 902337 ReportEvent1 FastCar2 300 N 
2400.0000 M6 874671 SlowCar0 FastCar2 300 N 
2800.0000 M7 894715 ReportEvent1 FastCar2 300 N 
3200.0000 M8 754921 FastCar2 SlowCar0 300 N 
3600.0000 M9 626475 SlowCar0 FastCar2 300 N 
4000.0000 M10 769587 SlowCar0 ReportEvent1 300 N 
4400.0000 M11 587686 SlowCar0 FastCar2 300 N 
4800.0000 M12 867273 FastCar2 ReportEvent1 300 N 
5200.0000 M13 562047 FastCar2 ReportEvent1 300 N 
5600.0000 M14 565687 FastCar2 SlowCar0 300 N 
6000.0000 M15 506471 FastCar2 ReportEvent1 300 N 
6400.0000 M16 711571 SlowCar0 FastCar2 300 N 
6800.0000 M17 530271 ReportEvent1 FastCar2 300 N 
7200.0000 M18 991397 ReportEvent1 FastCar2 300 N 
7600.0000 M19 794029 SlowCar0 ReportEvent1 300 N 
8000.0000 M20 626902 SlowCar0 ReportEvent1 300 N 
8400.0000 M21 848700 ReportEvent1 SlowCar0 300 N 
8800.0000 M22 640222 FastCar2 SlowCar0 300 N 
9200.0000 M23 951216 SlowCar0 FastCar2 300 N 
9600.0000 M24 995680 FastCar2 SlowCar0 300 N 
10000.0000 M25 963205 SlowCar0 FastCar2 300 N 
10400.0000 M26 684104 SlowCar0 FastCar2 300 N 
10800.0000 M27 964884 SlowCar0 FastCar2 300 N 
11200.0000 M28 559729 ReportEvent1 SlowCar0 300 N 
11600.0000 M29 870826 FastCar2 ReportEvent1 300 N 
12000.0000 M30 972383 SlowCar0 FastCar2 300 N 
12400.0000 M31 600773 FastCar2 SlowCar0 300 N 
12800.0000 M32 622078 FastCar2 SlowCar0 300 N 
13200.0000 M33 627290 FastCar2 SlowCar0 300 N 
13600.0000 M34 975325 SlowCar0 ReportEvent1 300 N 
14000.0000 M35 913054 SlowCar0 FastCar2 300 N 
14400.0000 M36 896607 SlowCar0 ReportEvent1 300 N 
14800.0000 M37 948641 FastCar2 ReportEvent1 300 N 
15200.0000 M38 582298 FastCar2 SlowCar0 300 N 
15600.0000 M39 623274 SlowCar0 FastCar2 300 N 
16000.0000 M40 936576 SlowCar0 ReportEvent1 300 N 
16400.0000 M41 844772 FastCar2 SlowCar0 300 N 
16800.0000 M42 548331 ReportEvent1 SlowCar0 300 N 
17200.0000 M43 784614 FastCar2 SlowCar0 300 N 
17600.0000 M44 992517 ReportEvent1 SlowCar0 300 N 
18000.0000 M45 737538 ReportEvent1 SlowCar0 300 N 
18400.0000 M46 698725 SlowCar0 ReportEvent1 300 N 
18800.0000 M47 724948 ReportEvent1 SlowCar0 300 N 
19200.0000 M48 683464 SlowCar0 FastCar2 300 N 
19600.0000 M49 618421 FastCar2 SlowCar0 300 N 
20000.0000 M50 519988 FastCar2 SlowCar0 300 N 
20400.0000 M51 713417 SlowCar0 FastCar2 300 N 
20800.0000 M52 596711 SlowCar0 ReportEvent1 300 N 
21200.0000 M53 623927 FastCar2 SlowCar0 300 N 
21600.0000 M54 773287 SlowCar0 FastCar2 300 N 
22000.0000 M55 740228 FastCar2 SlowCar0 300 N 
22400.0000 M56 820680 ReportEvent1 SlowCar0 300 N 
22800.0000 M57 940661 FastCar2 SlowCar0 300 N 
23200.0000 M58 605393 FastCar2 ReportEvent1 300 N 
23600.0000 M59 631448 FastCar2 ReportEvent1 300 N 
24000.0000 M60 976458 ReportEvent1 SlowCar0 300 N 
24400.0000 M61 797770 FastCar2 ReportEvent1 300 N 
24800.0000 M62 532856 ReportEvent1 FastCar2 300 N 
25200.0000 M63 794486 ReportEvent1 FastCar2 300 N 
25600.0000 M64 514267 FastCar2 SlowCar0 300 N 
26000.0000 M65 968340 SlowCar0 ReportEvent1 300 N 
26400.0000 M66 683682 ReportEvent1 SlowCar0 300 N 
26800.0000 M67 618175 ReportEvent1 SlowCar0 300 N 
27200.0000 M68 905197 SlowCar0 ReportEvent1 300 N 
27600.0000 M69 837610 ReportEvent1 SlowCar0 300 N 
28000.0000 M70 720977 FastCar2 ReportEvent1 300 N 
28400.0000 M71 686270 FastCar2 ReportEvent1 300 N 
28800.0000 M72 586604 SlowCar0 FastCar2 300 N 
29200.0000 M73 745934 SlowCar0 ReportEvent1 300 N 
29600.0000 M74 570569 FastCar2 ReportEvent1 300 N 
30000.0000 M75 846462 ReportEvent1 SlowCar0 300 N 
30400.0000 M76 826254 ReportEvent1 SlowCar0 300 N 
30800.0000 M77 628836 SlowCar0 FastCar2 300 N 
31200.0000 M78 828271 ReportEvent1 FastCar2 300 N 
31600.0000 M79 716229 SlowCar0 FastCar2 300 N 
32000.0000 M80 721262 FastCar2 ReportEvent1 300 N 
32400.0000 M81 649807 ReportEvent1 SlowCar0 300 N 
32800.0000 M82 549614 FastCar2 ReportEvent1 300 N 
33200.0000 M83 862524 SlowCar0 ReportEvent1 300 N 
33600.0000 M84 716388 SlowCar0 ReportEvent1 300 N 
34000.0000 M85 769870 FastCar2 SlowCar0 300 N 
34400.0000 M86 625366 ReportEvent1 SlowCar0 300 N 
34800.0000 M87 567791 ReportEvent1 SlowCar0 300 N 
35200.0000 M88 736881 ReportEvent1 FastCar2 300 N 
35600.0000 M89 632900 FastCar2 SlowCar0 300 N 
36000.0000 M90 833066 FastCar2 ReportEvent1 300 N 
36400.0000 M91 892737 ReportEvent1 FastCar2 300 N 
36800.0000 M92 580783 ReportEvent1 SlowCar0 300 N 
37200.0000 M93 953285 ReportEvent1 FastCar2 300 N 
37600.0000 M94 854445 ReportEvent1 FastCar2 300 N 
38000.0000 M95 884910 ReportEvent1 SlowCar0 300 N 
38400.0000 M96 731176 ReportEvent1 SlowCar0 300 N 
38800.0000 M97 742143 ReportEvent1 SlowCar0 300 N 
39200.0000 M98 985912 SlowCar0 FastCar2 300 N 
39600.0000 M99 623765 FastCar2 SlowCar0 300 N 
40000.0000 M100 852404 SlowCar0 ReportEvent1 300 N 
40400.0000 M101 789306 FastCar2 SlowCar0 300 N 
40800.0000 M102 821486 ReportEvent1 FastCar2 300 N 
41200.0000 M103 667043 SlowCar0 FastCar2 300 N 
41600.0000 M104 870121 SlowCar0 ReportEvent1 300 N 
42000.0000 M105 857260 SlowCar0 ReportEvent1 300 N 
42400.0000 M106 969448 ReportEvent1 SlowCar0 300 N 
42800.0000 M107 616020 ReportEvent1 FastCar2 300 N 
43200.0000 M108 838494 SlowCar0 FastCar2 300 N 
