# time  created  delivered  delivered/created
400.0000 1 0 0.0000
800.0000 2 0 0.0000
1200.0000 3 0 0.0000
1600.0000 4 0 0.0000
2000.0000 5 0 0.0000
2400.0000 6 0 0.0000
2800.0000 7 0 0.0000
2826.7000 7 1 0.1429
3200.0000 8 1 0.1250
3600.0000 9 1 0.1111
4000.0000 10 1 0.1000
4334.6000 10 2 0.2000
4338.2000 10 3 0.3000
4341.9000 10 4 0.4000
4345.4000 10 5 0.5000
4400.0000 11 5 0.4545
4800.0000 12 5 0.4167
5200.0000 13 5 0.3846
5600.0000 14 5 0.3571
6000.0000 15 5 0.3333
6400.0000 16 5 0.3125
6800.0000 17 5 0.2941
7200.0000 18 5 0.2778
7600.0000 19 5 0.2632
8000.0000 20 5 0.2500
8400.0000 21 5 0.2381
8800.0000 22 5 0.2273
9200.0000 23 5 0.2174
9600.0000 24 5 0.2083
10000.0000 25 5 0.2000
10400.0000 26 5 0.1923
10800.0000 27 5 0.1852
11200.0000 28 5 0.1786
11600.0000 29 5 0.1724
12000.0000 30 5 0.1667
12400.0000 31 5 0.1613
12800.0000 32 5 0.1563
13081.3000 32 6 0.1875
13200.0000 33 6 0.1818
13600.0000 34 6 0.1765
14000.0000 35 6 0.1714
14400.0000 36 6 0.1667
14800.0000 37 6 0.1622
15200.0000 38 6 0.1579
15600.0000 39 6 0.1538
16000.0000 40 6 0.1500
16400.0000 41 6 0.1463
16800.0000 42 6 0.1429
17200.0000 43 6 0.1395
17600.0000 44 6 0.1364
18000.0000 45 6 0.1333
18300.7000 45 7 0.1556
18400.0000 46 7 0.1522
18800.0000 47 7 0.1489
19200.0000 48 7 0.1458
19600.0000 49 7 0.1429
20000.0000 50 7 0.1400
20400.0000 51 7 0.1373
20800.0000 52 7 0.1346
21200.0000 53 7 0.1321
21600.0000 54 7 0.1296
22000.0000 55 7 0.1273
22400.0000 56 7 0.1250
22800.0000 57 7 0.1228
23200.0000 58 7 0.1207
23600.0000 59 7 0.1186
24000.0000 60 7 0.1167
24021.6000 60 8 0.1333
24024.7000 60 9 0.1500
24400.0000 61 9 0.1475
24800.0000 62 9 0.1452
25200.0000 63 9 0.1429
25600.0000 64 9 0.1406
26000.0000 65 9 0.1385
26400.0000 66 9 0.1364
26800.0000 67 9 0.1343
27200.0000 68 9 0.1324
27600.0000 69 9 0.1304
28000.0000 70 9 0.1286
28400.0000 71 9 0.1268
28800.0000 72 9 0.1250
29200.0000 73 9 0.1233
29600.0000 74 9 0.1216
30000.0000 75 9 0.1200
30400.0000 76 9 0.1184
30800.0000 77 9 0.1169
31200.0000 78 9 0.1154
31600.0000 79 9 0.1139
32000.0000 80 9 0.1125
32400.0000 81 9 0.1111
32800.0000 82 9 0.1098
33200.0000 83 9 0.1084
33600.0000 84 9 0.1071
34000.0000 85 9 0.1059
34400.0000 86 9 0.1047
34800.0000 87 9 0.1034
35200.0000 88 9 0.1023
35600.0000 89 9 0.1011
36000.0000 90 9 0.1000
36400.0000 91 9 0.0989
36800.0000 92 9 0.0978
37200.0000 93 9 0.0968
37600.0000 94 9 0.0957
37954.2000 94 10 0.1064
38000.0000 95 10 0.1053
38400.0000 96 10 0.1042
38800.0000 97 10 0.1031
39200.0000 98 10 0.1020
39600.0000 99 10 0.1010
40000.0000 100 10 0.1000
40400.0000 101 10 0.0990
40800.0000 102 10 0.0980
41200.0000 103 10 0.0971
41600.0000 104 10 0.0962
42000.0000 105 10 0.0952
42400.0000 106 10 0.0943
42800.0000 107 10 0.0935
42920.9000 107 11 0.1028
43200.0000 108 11 0.1019
