# time totalContactTime
1375.6000 0.3000
1376.7000 1.4000
1377.8000 2.5000
1378.9000 3.5000
2825.4000 4.6000
2826.5000 5.7000
2827.6000 6.7000
4331.9000 7.7000
4332.9000 8.7000
4333.9000 9.7000
4334.9000 10.7000
4335.9000 11.7000
4336.9000 12.7000
4337.9000 13.7000
4338.9000 14.7000
4339.9000 15.7000
4340.9000 16.7000
4341.9000 17.7000
4342.9000 18.7000
4343.9000 19.7000
4344.9000 20.7000
4345.9000 21.7000
4346.9000 22.7000
4347.9000 23.7000
4348.9000 24.7000
4349.9000 25.7000
4350.9000 26.7000
4351.9000 27.7000
4352.9000 28.7000
4353.9000 29.7000
4354.9000 30.7000
4355.9000 31.7000
4356.9000 32.7000
4357.9000 33.7000
4358.9000 34.7000
4359.9000 35.7000
4360.9000 36.7000
4361.9000 37.7000
4362.9000 38.7000
4363.9000 39.7000
4364.9000 40.7000
4365.9000 41.7000
4366.9000 42.7000
4367.9000 43.7000
4368.9000 44.7000
4369.9000 45.7000
4370.9000 46.7000
4371.9000 47.7000
4372.9000 48.7000
4373.9000 49.7000
4374.9000 50.7000
4375.9000 51.7000
4376.9000 52.7000
4377.9000 53.7000
4378.9000 54.7000
4379.9000 55.7000
4380.9000 56.7000
4381.9000 57.7000
4382.9000 58.7000
4383.9000 59.7000
4384.9000 60.7000
4385.9000 61.7000
4386.9000 62.7000
4387.9000 63.7000
4388.9000 64.7000
4389.9000 65.7000
4390.9000 66.7000
4391.9000 67.7000
4392.9000 68.7000
4393.9000 69.7000
4394.9000 70.7000
4395.9000 71.7000
4396.9000 72.7000
4397.9000 73.7000
4398.9000 74.7000
4399.9000 75.7000
4400.9000 76.7000
4401.9000 77.7000
4402.9000 78.7000
4403.9000 79.7000
4404.9000 80.7000
4405.9000 81.7000
4406.9000 82.7000
4407.9000 83.7000
4408.9000 84.7000
4409.9000 85.7000
4410.9000 86.7000
4411.9000 87.2000
13078.9000 87.9000
13079.9000 88.9000
13080.9000 89.9000
13081.9000 90.9000
13082.9000 91.5000
14205.9000 91.9000
14206.9000 92.9000
14207.9000 93.9000
14208.9000 94.6000
14336.9000 95.6000
14337.9000 96.6000
14338.9000 97.0000
18297.9000 98.0000
18299.0000 99.1000
18300.1000 100.2000
18301.2000 101.0000
24019.0000 101.2000
24020.1000 102.3000
24021.2000 103.4000
24022.3000 104.5000
24023.4000 105.6000
24024.5000 106.7000
24025.6000 107.4000
27270.6000 107.8000
27271.7000 108.9000
27272.8000 109.2000
28107.7000 109.5000
28108.8000 110.6000
28109.9000 110.8000
33816.7000 111.7000
33817.8000 112.3000
37951.6000 112.6000
37952.7000 113.7000
37953.8000 114.8000
37954.9000 115.9000
37956.0000 116.7000
38005.5000 117.1000
38006.6000 118.2000
38007.7000 118.6000
42600.2000 119.4000
42601.3000 120.2000
42918.1000 120.5000
42919.2000 121.6000
42920.3000 122.7000
42921.4000 123.5000
